ticker,issuer_cik,share_class_tickers,window_start_fy,window_end_fy,window_year_count,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,board_target_in_scope,board_target_stratum,board_target_featured_pct,board_target_metric_type,board_target_verification,source_accessions,flags
NDAQ,0001120193,NDAQ,2021,2025,5,2025,Adena T. Friedman,25014550,59054224,113042670,214844719,235,197,38.0,True,2.36,False,,,,,0001628280-26-027245,
SYF,0001601712,SYF,2021,2025,5,2025,Brian Doubles,21373734,57677474,95408943,214662851,269,129,140.0,True,2.7,False,,,,,0001601712-26-000017,CEO_TRANSITION;MANUAL_PRIMARY_TABLE;MANUAL_PRIMARY_TABLE
GEV,0001996810,GEV,2024,2025,2,2025,Scott Strazik,18020345,119347311,42346683,213086612,468,128,340.0,True,6.62,False,,,,,0001996810-26-000049,
PGR,0000080661,PGR,2021,2025,5,2025,Mrs. Griffith,17705924,25770278,76931843,210790712,254.12,228.85,25.3,True,1.46,False,,,,,0000080661-26-000099,
GILD,0000882095,GILD,2021,2025,5,2025,Mr. O’Day,28437198,63256337,115584999,209976102,255,125,130.0,True,2.22,False,,,,,0001308179-26-000106,
TJX,0000109198,TJX,2022,2026,5,2026,Mr. Herrman,26603537,47445659,124636202,209869799,251.93,209.16,42.8,True,1.78,False,,,,,0000109198-26-000015,
RJF,0000720005,RJF,2021,2025,5,2025,,21070760,54364869,127628624,209259972,380.95,290.78,90.2,True,2.58,False,,,,,0000720005-26-000019,CEO_TRANSITION
PCG,0001004980,PCG,2021,2025,5,2025,,19812481,7193982,191130896,206020175,130,145,-15.0,False,0.36,False,,,,,0001004980-26-000020,CEO_TRANSITION
COP,0001163165,COP,2021,2025,5,2025,Mr. Lance,23450085,22778058,111196021,205309779,279.04,285.59,-6.5,False,0.97,False,,,,,0001104659-26-036366,
TT,0001466258,TT,2021,2025,5,2025,Mr. Regnery,27262157,28107983,122244261,203961916,286,189,97.0,True,1.03,False,,,,,0001628280-26-026679,CEO_TRANSITION
AZO,0000866787,AZO,2021,2025,5,2025,,9636414,21265131,75426724,201243834,353.08,151.97,201.1,True,2.21,False,,,,,0001104659-25-103210,CEO_TRANSITION
GD,0000040533,GD,2021,2025,5,2025,Novakovic,25924082,51230765,117333588,200036746,253,230,23.0,True,1.98,False,,,,,0001308179-26-000168,
TKO,0001973266,TKO,2023,2025,3,2025,Ariel Emanuel,67361782,102000000,150403613,200000000,213.23,204.86,8.4,True,1.51,False,,,,,0001193125-26-173833,
BLK,0002012383,BLK,2021,2025,5,2025,Mr. Fink,37749569,55823885,160771033,198690043,,,,,1.48,False,,,,,0001308179-26-000262,
MAR,0001048286,MAR,2021,2025,5,2025,Mr. Capuano,22970926,39528666,116954190,196356029,243.83,226.6,17.2,True,1.72,False,,,,,0001140361-26-011590,CEO_TRANSITION
MPC,0001510295,MPC,2021,2025,5,2025,"2025: Ms. Mannen•2024: Ms. Mannen (top row), who was promoted to the CEO role effective August 1, 2024, and Mr. Hennigan (bottom row), who transitioned from the CEO role to Executive Chairman on that date •2023, 2022 and 2021: Mr. Hennigan",19016261,22476265,123688461,196307908,448.38,329.43,118.9,True,1.18,False,,,,,0001510295-26-000023,CEO_TRANSITION
COR,0001140859,COR,2021,2025,5,2025,Robert P. Mauch,18256227,33887631,85852205,194974111,341.68,143.51,198.2,True,1.86,False,,,,,0001628280-26-003061,
BAC,0000070858,BAC,2021,2025,5,2025,Brian T. Moynihan,33711521,53507725,144928087,194322711,205,196,9.0,True,1.59,False,,,,,0001193125-26-118929,
PM,0001413329,PM,2021,2025,5,2025,Mr. Olczak,29072171,56821594,116472387,194031529,247.10,128.30,118.8,True,1.95,False,,,,,0001628280-26-021169,CEO_TRANSITION
SO,0000092122,SO,2021,2025,5,2025,Christopher C. Womack,28223562,26123940,154349816,190919373,171.34,153.04,18.3,True,0.93,False,,,,,0000092122-26-000028,CEO_TRANSITION
CVS,0000064803,CVS,2021,2025,5,2025,J. David Joyner,21214084,50482415,129558915,190639387,136.61,148.36,-11.8,False,2.38,False,,,,,0001308179-26-000201,CEO_TRANSITION
SBUX,0000829224,SBUX,2021,2025,5,2025,,30992773,3634603,207832151,190162446,110.47,165.21,-54.7,False,0.12,False,,,,,0001213900-26-007780,CEO_TRANSITION
SPG,0001063761,SPG,2021,2025,5,2025,David Simon,11663678,31738170,134765730,190116661,283,174,109.0,True,2.72,False,,,,,0001104659-26-038320,
NEE,0000753308,NEE,2021,2025,5,2025,Mr. Ketchum,24192607,37973057,149078490,189057736,118.24,146.25,-28.0,False,1.57,False,,,,,0001104659-26-038551,CEO_TRANSITION
LRCX,0000707549,LRCX,2021,2025,5,2025,Timothy M. Archer,28298161,14697241,109180193,189022455,340,307,33.0,True,0.52,False,,,,,0001140361-25-036012,
MRSH,0000062709,MRSH,2021,2025,5,2025,John Q. Doyle,25051051,11535337,119357684,187996610,171,203,-32.0,False,0.46,False,,,,,0001193125-26-133303,
JBL,0000898293,JBL,2021,2025,5,2025,,16092334,33288152,92128852,186811440,611.94,182.29,429.7,True,2.07,False,,,,,0001193125-25-316927,CEO_TRANSITION
DHI,0000882184,DHI,2021,2025,5,2025,Paul Romanowski,25128033,21368977,142925417,186472722,235.46,214.30,21.2,True,0.85,False,,,,,0000882184-25-000114,
UAL,0000100517,UAL,2021,2025,5,2025,Scott Kirby,32282253,45643992,104422206,186439714,258.54,87.62,170.9,True,1.41,False,,,,,0001104659-26-040467,
RCL,0000884887,RCL,2021,2025,5,2025,Mr. Jason Liberty,23978813,48985531,87569200,184532672,380.05,152.06,228.0,True,2.04,False,,,,,0000884887-26-000017,CEO_TRANSITION
IQV,0001478242,IQV,2021,2025,5,2025,Ari Bousbib,28128245,36068712,142763875,184194794,125.81,186.82,-61.0,False,1.28,False,,,,,0001628280-26-012892,
FISV,0000798354,FISV,2021,2025,5,2025,,70341992,20838113,186648228,183773622,59,203,-144.0,False,0.3,False,,,,,0001140361-26-013003,CEO_TRANSITION
